GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
8718	1.515	1.993	1.483	1.153	1.5	0.7769
57449	2.274	3.133	1.698	1.357	2.036	1.417
79707	24.04	24.51	21.87	22.88	23.8	22.27
80835	0.1186	0.03094	0.02519	0.03146	0.0307	0.06995
107984912	0	0	0	0	0	0
3104	22.37	29.4	23.19	23.93	25.65	21.99
9903	46.04	42.75	40.2	38.33	48.44	39.84
107984913	0.6084	0.3674	0.8975	0.8151	1.127	0.6042
148479	30	24.92	76.05	64.71	79.06	66.17
90326	27.64	33.06	24.88	26.11	25.87	27.89
55735	85.56	100.1	74.96	82.08	83.69	81.99
100505887	0	0	0	0	0	0
110841581	3.316	2.863	1.845	1.334	1.775	1.942
23261	3.087	2.965	3.11	2.826	3.093	3.053
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0.04449	0.03622	0	0.08828	0.04023
105376691	0.4112	0	0	0	0	0
105376689	0.03172	0.01103	0.01796	0	0.03283	0.009975
9341	32.94	28.78	35.39	30.84	34.02	28.97
8863	1.262	1.123	1.122	0.9685	1.214	0.8894
10911	0	0	0	0	0.03838	0
3604	0.009188	0	0.1092	0.1559	0.07607	0.1993
11315	364	384.3	370.7	365.9	336.5	373.5
54206	1.221	1.264	1.845	2.04	1.598	1.875
107984915	0	0	0	0	0	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	0.7175	0.7485	1.051	1.443	1.306	0.9803
473	13.02	15.76	9.048	11.62	13.04	10.94
102724552	0.1819	0	0.1545	0.2894	0.09413	0.08579
106632271	0	0.5775	0	0	0	0
2023	1644	1754	1637	1842	1679	1884
102465436	1.418	4.439	5.421	2.256	5.138	6.69
100505975	4.095	5.744	4.197	4.043	4.238	3.73
112268261	0	0	0.008686	0	0.01059	0
765	0	0	0	0	0	0
155184	0.06075	0	0	0	0.03144	0
6518	0.02143	0.05588	0	0	0.01109	0
80045	8.042	10.62	5.669	5.156	6.584	5.305
106614088	0.01518	0	0	0.0161	0.01571	0
407040	0	0	0	0	0	0
102724571	0	0	0	0	0	0
9563	13.55	14.88	9.175	10.32	12.13	10.28
80176	10.93	11.23	103.7	93.75	101	96.96
100506022	0.6213	0.5671	0.1759	0.2197	0.1072	0.2931
84275	30.57	26.21	30.71	30.84	30.34	32.23
199953	20.04	22.94	21.68	24.98	25.59	25.27
107985734	2.807	2.569	3.551	3.706	2.905	3.566
105376712	0.2856	0.4469	0.1213	0	0.1478	0.2694
5293	15.38	19.99	11.09	13.56	15.06	14.19
644997	0	0.03612	0.08821	0	0	0.09798
101929074	21.15	19.38	22.55	17.05	19.98	18.71
22883	72.44	84.18	59.65	71.07	74.78	71.98
56998	29.61	32.13	23.94	23.74	27.79	24.34
105376717	12.88	11	7.294	9.524	9.967	10.56
84328	37.73	31.95	34.52	31.26	34.13	29.29
64802	3.724	3.635	3.32	3.247	3.648	3.4
113391335	0.2843	0.1483	0.3622	0.3015	0.7357	0.2682
100847055	2.428	0	1.374	0	0	0.7634
116362	0	0	0	0.1594	0	0
10277	27.81	27.33	22.62	24.72	27.46	24.46
23095	7.541	8.179	5.632	6.245	7.24	5.701
105376725	0.392	0.7724	0.5179	0.3234	0.2254	0.1644
5226	293.6	329	275.9	302.3	293.5	307.5
100526739	19.19	17.97	18.12	16.78	15.64	15.68
378708	30.12	28.12	28.2	26.36	25.93	24.09
1325	3.867	3.818	4.574	3.516	2.645	3.518
1676	33.25	39.96	28.41	31.22	33.02	31.89
5195	9.162	12.29	9.537	11.61	10.53	10.7
54897	2.955	4.641	3.007	4.251	3.764	3.788
105376733	0	0	0	0	0	0
105376735	0.2675	0.186	0	0	0.09227	0
148345	0.173	0.09022	0.07345	0.04587	0.02238	0
23435	132.2	124.7	113	98.94	116.5	101.6
10747	2.302	1.495	1.616	1.819	1.872	1.13
6723	225.1	339.7	264	309.9	260.8	311.1
5394	87.61	90.99	84.95	82.39	89.94	81.37
105376736	14.66	16.7	11.74	15.44	15.61	13.05
2475	37.85	43.29	28.86	35.11	38.38	33.77
100873935	7.778	9.139	5.011	7.206	7.68	6.578
10218	0.2018	0.3684	0.15	0.08027	0.1828	0.2142
